age,gender,income_inr,city,employment_type,work_hours_per_day,commute_minutes,dinners_cooked_per_week,enjoy_cooking,cooking_skill_rating,cooking_challenges,dinner_time_hour,primary_cook,favorite_cuisines,meal_type_pref,non_veg_freq_per_week,dietary_goals,allergies,healthy_importance_rating,track_macros,orders_outside_per_week,spend_outside_per_meal_inr,willing_to_pay_mealkit_inr,payment_mode,priority_taste,priority_price,priority_nutrition,priority_ease,priority_time,subscribe_try,delivery_pref,meals_per_week_subscription,desired_features,priority_health,priority_time_savings,priority_convenience,priority_variety,priority_affordability,continue_service,refer_service,incentive_pref,healthy_brand_association,additional_needs
33,Male,118184,Delhi NCR,Student,8,7,3,No,3,"Don't enjoy it,Waste of ingredients,Cleaning up,Not cost-effective,Too tired,No ideas,Grocery hassle",20.3,Self,"Italian,South Indian,Vegan,Asian,Chinese",Non-Vegetarian,7,"Immune boost,Quick meal-prep,Muscle gain,Low-calorie,High-protein,Balanced meals",Nuts,2,Occasionally,4,50,250,UPI,1,3,4,5,2,Maybe,Weekly batch,2,"Family plans,Cancel-anytime,Easy cooking,Recipe variety",1,5,3,2,4,Definitely,Definitely,Not important,Epigamia,Calorie tracker
26,Non-binary,111714,Delhi NCR,Homemaker,9,12,5,Yes,5,"Not cost-effective,Cleaning up,Grocery hassle,Portioning issues,Don't enjoy it,Too tired,No ideas",20.4,Self,"Keto/High-protein,South Indian,Chinese,Healthy Superfoods,Thai,Italian,North Indian,Fusion",Non-Vegetarian,2,"High-protein,Diabetes-friendly,Weight loss,Balanced meals,Sustainable eating,Gluten-free,Low-calorie,Low-carb","Lactose,Gluten",3,Never,7,248,200,Debit Card,5,2,4,1,3,Definitely,Weekly batch,5,"Family plans,Cancel-anytime,Easy cooking,Customizable,Fast delivery,No cleanup,Recipe variety,Loyalty points",2,3,1,4,5,Definitely,Definitely,Discounts,None,More vegan options
34,Non-binary,148004,Mumbai,Part-time,8,14,4,Only on weekends,3,"No time,No ideas,Not cost-effective,Grocery hassle,Waste of ingredients,Too tired,Don't enjoy it,Cleaning up",21.6,Parent,"South Indian,Mexican,Italian,Continental,Healthy Superfoods,Asian,Fusion",Vegetarian,2,"Balanced meals,Sustainable eating,Low-calorie,Immune boost,Weight loss,Low-carb",Nuts,3,Occasionally,6,268,150,Cash,4,5,1,3,2,Definitely,3x/week,3,"Cancel-anytime,Easy cooking,Nutrition labels,Fast delivery,Family plans,Loyalty points,Recipe variety",5,4,3,2,1,Definitely,Definitely,Free meals,Epigamia,Calorie tracker
31,Male,45355,Mumbai,Part-time,10,14,4,Yes,4,"Too tired,Not cost-effective,No ideas,Cleaning up,No skills,Grocery hassle,Waste of ingredients",19.8,Hired help,"Italian,Vegan,Thai,North Indian,Healthy Superfoods,Keto/High-protein,Asian",Vegan,7,"Sustainable eating,Muscle gain,Immune boost,Gluten-free,Gut health","Eggs,Soy,None",3,Never,3,328,200,Wallets,1,3,4,2,5,Maybe,Weekly batch,7,"Cancel-anytime,Easy cooking,App-based tracking,Nutrition labels",4,2,5,1,3,Maybe,Definitely,Not important,FreshMenu,More vegan options
40,Non-binary,65021,Chennai,Student,7,53,4,No,3,"Don't enjoy it,No time,No skills,Not cost-effective,Waste of ingredients,No ideas,Portioning issues",19.5,Parent,"Fusion,South Indian,Mexican,Asian",Mixed,0,"Gluten-free,Weight loss,Low-calorie,Immune boost","Soy,Gluten",2,Occasionally,2,340,150,Cash,4,2,5,1,3,Unlikely,On-demand,3,"No cleanup,Easy cooking,Cancel-anytime,App-based tracking,Family plans,Recipe variety,Customizable,Fast delivery",4,3,2,5,1,Definitely,Maybe,Discounts,EatFit,None
38,Prefer not to say,88665,Bangalore,Student,9,5,4,Yes,5,"Cleaning up,Not cost-effective,Grocery hassle,Portioning issues",20.1,Alternates,"Chinese,Fusion,Keto/High-protein,Thai,Asian,Italian",Vegetarian,0,"Sustainable eating,Weight loss,Quick meal-prep,Gluten-free,Diabetes-friendly,Gut health","Nuts,Soy",2,Regularly,5,377,250,Credit Card,3,4,2,5,1,Unlikely,Weekly batch,1,"Nutrition labels,Family plans,Easy cooking,Customizable,No cleanup,Fast delivery,Recipe variety",4,1,5,3,2,Maybe,No,Discounts,FreshMenu,None
27,Non-binary,70172,Delhi NCR,Full-time,8,34,5,No,1,"No time,Cleaning up,Grocery hassle,Too tired,Don't enjoy it",19.0,Alternates,"Continental,Mexican,Italian,Vegan,Keto/High-protein",Vegan,2,"Gut health,High-protein,Sustainable eating,Balanced meals,Low-calorie,Weight loss,Gluten-free","Gluten,Soy",4,Never,5,87,400,Debit Card,5,3,1,2,4,Maybe,Daily,1,"Customizable,No cleanup,App-based tracking,Nutrition labels,Family plans,Easy cooking",2,1,5,4,3,Definitely,Maybe,Discounts,Subway,Calorie tracker
34,Male,68293,Other,Part-time,8,8,1,Only on weekends,2,"Waste of ingredients,Too tired,Cleaning up,No time",20.3,Self,"Keto/High-protein,Continental,Vegan,South Indian,Healthy Superfoods",Eggetarian,7,"Muscle gain,Quick meal-prep,High-protein,Sustainable eating,Low-carb,Low-calorie",None,5,Occasionally,0,332,300,Wallets,4,1,2,3,5,Definitely,Weekly batch,4,"Loyalty points,Family plans,Cancel-anytime,App-based tracking,Recipe variety,Customizable,Nutrition labels,No cleanup",1,3,4,5,2,Definitely,Maybe,Not important,FreshMenu,None
43,Female,85786,Pune,Freelancer,9,65,3,No,3,"Not cost-effective,No skills,Don't enjoy it,Portioning issues,No time",20.4,Self,"Asian,Vegan,North Indian,Fusion,Italian,Mexican",Vegetarian,6,"Gut health,Balanced meals,Weight loss,Low-calorie,Muscle gain,Diabetes-friendly",Eggs,5,Regularly,7,298,150,Debit Card,5,3,1,2,4,Definitely,Weekly batch,3,"Nutrition labels,No cleanup,Loyalty points,Family plans,Fast delivery,Customizable",4,1,3,2,5,Definitely,Maybe,Discounts,Epigamia,Calorie tracker
21,Prefer not to say,52092,Delhi NCR,Student,7,5,4,Only on weekends,2,"Cleaning up,No time,No skills,No ideas,Too tired",20.1,Parent,"Mexican,Continental,Thai,Chinese,South Indian,Asian,Vegan,North Indian",Mixed,7,"Gut health,Low-calorie,Weight loss,Low-carb,Balanced meals,Immune boost,Quick meal-prep,Gluten-free",Nuts,2,Never,4,497,150,UPI,4,5,1,3,2,Definitely,Daily,4,"Cancel-anytime,Easy cooking,Fast delivery,Family plans",5,2,3,4,1,Definitely,Definitely,Not important,EatFit,Reusable packaging
